Nombre Sección,Sección,Total,censo,votos_total,Participación
Donostia/San Sebastián sección 06007,06906007,32183.0,1754.0,1256.0,0.7160775370581528
Donostia/San Sebastián sección 06008,06906008,14377.0,1189.0,796.0,0.6694701429772918
Donostia/San Sebastián sección 06009,06906009,22218.0,646.0,419.0,0.6486068111455109
Donostia/San Sebastián sección 06010,06906010,22827.0,1033.0,732.0,0.7086156824782188
Donostia/San Sebastián sección 06011,06906011,25445.0,942.0,708.0,0.7515923566878981
Donostia/San Sebastián sección 06012,06906012,16896.0,1354.0,978.0,0.7223042836041359
Donostia/San Sebastián sección 06013,06906013,18835.0,771.0,555.0,0.7198443579766537
Donostia/San Sebastián sección 06014,06906014,24129.0,1632.0,1186.0,0.7267156862745098
Donostia/San Sebastián sección 06015,06906015,16897.0,836.0,569.0,0.680622009569378
Donostia/San Sebastián sección 06016,06906016,19893.0,1708.0,1203.0,0.7043325526932084
Donostia/San Sebastián sección 06017,06906017,22006.0,868.0,643.0,0.7407834101382489
Donostia/San Sebastián sección 06018,06906018,27285.0,1527.0,1165.0,0.7629338572364113
Donostia/San Sebastián sección 06019,06906019,18030.0,1352.0,978.0,0.7233727810650887
Donostia/San Sebastián sección 06020,06906020,29048.0,984.0,711.0,0.7225609756097561
Donostia/San Sebastián sección 06021,06906021,21785.0,1432.0,1042.0,0.7276536312849162
Donostia/San Sebastián sección 06022,06906022,22116.0,1261.0,996.0,0.7898493259318001
Donostia/San Sebastián sección 06023,06906023,16843.0,1246.0,884.0,0.709470304975923
Donostia/San Sebastián sección 06024,06906024,27529.0,1442.0,1075.0,0.7454923717059639
Donostia/San Sebastián sección 06025,06906025,17898.0,1857.0,1234.0,0.6645126548196015
Donostia/San Sebastián sección 06026,06906026,24697.0,1367.0,1065.0,0.7790782735918069
Donostia/San Sebastián sección 06027,06906027,28586.0,916.0,658.0,0.7183406113537117
Donostia/San Sebastián sección 06028,06906028,19879.0,1193.0,843.0,0.7066219614417435
Donostia/San Sebastián sección 06029,06906029,18501.0,1168.0,808.0,0.6917808219178082
Donostia/San Sebastián sección 06030,06906030,20132.0,1178.0,837.0,0.7105263157894737
Donostia/San Sebastián sección 07001,06907001,13310.0,1454.0,950.0,0.6533700137551581
Donostia/San Sebastián sección 07002,06907002,14276.0,1321.0,851.0,0.6442089326267979
Donostia/San Sebastián sección 07003,06907003,23502.0,1107.0,739.0,0.6675700090334237
Donostia/San Sebastián sección 07004,06907004,13858.0,646.0,407.0,0.6300309597523219
Donostia/San Sebastián sección 07005,06907005,14136.0,998.0,629.0,0.6302605210420842
Donostia/San Sebastián sección 07006,06907006,16367.0,1092.0,735.0,0.6730769230769231
Donostia/San Sebastián sección 07007,06907007,16657.0,1242.0,834.0,0.6714975845410628
Donostia/San Sebastián sección 07008,06907008,14360.0,646.0,384.0,0.5944272445820433
Donostia/San Sebastián sección 07009,06907009,14986.0,578.0,361.0,0.6245674740484429
Donostia/San Sebastián sección 07010,06907010,17815.0,935.0,654.0,0.6994652406417112
Donostia/San Sebastián sección 07011,06907011,12532.0,793.0,502.0,0.6330390920554855
Donostia/San Sebastián sección 07012,06907012,12326.0,668.0,379.0,0.5673652694610778
Donostia/San Sebastián sección 07013,06907013,14906.0,798.0,494.0,0.6190476190476191
Donostia/San Sebastián sección 07014,06907014,13756.0,1127.0,654.0,0.580301685891748
Donostia/San Sebastián sección 07015,06907015,14483.0,1399.0,937.0,0.6697641172265905
Donostia/San Sebastián sección 07016,06907016,12885.0,780.0,485.0,0.6217948717948718
Donostia/San Sebastián sección 07017,06907017,13134.0,1010.0,628.0,0.6217821782178218
Donostia/San Sebastián sección 07018,06907018,14026.0,1908.0,1171.0,0.6137316561844863
Donostia/San Sebastián sección 07019,06907019,12091.0,830.0,496.0,0.5975903614457831
Donostia/San Sebastián sección 07020,06907020,13774.0,1510.0,886.0,0.5867549668874172
Donostia/San Sebastián sección 07021,06907021,11728.0,521.0,312.0,0.5988483685220729
Donostia/San Sebastián sección 07022,06907022,12279.0,771.0,535.0,0.6939040207522698
Donostia/San Sebastián sección 07023,06907023,12652.0,1041.0,616.0,0.5917387127761767
Donostia/San Sebastián sección 07024,06907024,12554.0,1281.0,819.0,0.639344262295082
Donostia/San Sebastián sección 07025,06907025,11395.0,514.0,318.0,0.6186770428015564
Donostia/San Sebastián sección 07026,06907026,14981.0,636.0,408.0,0.6415094339622641
Donostia/San Sebastián sección 07027,06907027,14225.0,1616.0,1101.0,0.6813118811881188
Donostia/San Sebastián sección 07028,06907028,14532.0,902.0,591.0,0.655210643015521
Donostia/San Sebastián sección 07030,06907030,13208.0,1136.0,728.0,0.6408450704225352
Donostia/San Sebastián sección 07031,06907031,15949.0,1607.0,1139.0,0.7087741132545116
Donostia/San Sebastián sección 07032,06907032,12911.0,738.0,456.0,0.6178861788617886
Donostia/San Sebastián sección 07033,06907033,16379.0,1710.0,1194.0,0.6982456140350877
Donostia/San Sebastián sección 07034,06907034,15672.0,825.0,573.0,0.6945454545454546
Segura sección 01001,07001001,17358.0,1084.0,798.0,0.7361623616236163
Tolosa sección 01001,07101001,14160.0,535.0,356.0,0.6654205607476635
Tolosa sección 01002,07101002,14084.0,535.0,339.0,0.6336448598130842
Tolosa sección 01003,07101003,14308.0,837.0,553.0,0.6606929510155317
Tolosa sección 01004,07101004,15122.0,1329.0,920.0,0.6922498118886381
Tolosa sección 02001,07102001,18193.0,828.0,615.0,0.7427536231884058
Tolosa sección 02002,07102002,18957.0,1479.0,1036.0,0.7004732927653821
Tolosa sección 02003,07102003,14075.0,742.0,467.0,0.6293800539083558
Tolosa sección 02004,07102004,18242.0,905.0,650.0,0.7182320441988951
Tolosa sección 02005,07102005,20280.0,864.0,654.0,0.7569444444444444
Tolosa sección 03001,07103001,18207.0,1989.0,1360.0,0.6837606837606838
Tolosa sección 03002,07103002,14742.0,1052.0,702.0,0.6673003802281369
Tolosa sección 03003,07103003,17854.0,1592.0,1123.0,0.7054020100502513
Tolosa sección 04001,07104001,16658.0,1163.0,788.0,0.6775580395528805
Tolosa sección 04002,07104002,18083.0,1212.0,879.0,0.7252475247524752
Urnieta sección 01001,07201001,14540.0,917.0,624.0,0.6804798255179935
Urnieta sección 01002,07201002,14139.0,1034.0,666.0,0.6441005802707931
Urnieta sección 01003,07201003,15182.0,1611.0,1046.0,0.6492861576660459
Urnieta sección 01004,07201004,15317.0,1200.0,839.0,0.6991666666666667
Usurbil sección 01001,07301001,16521.0,1684.0,1219.0,0.7238717339667459
Usurbil sección 01002,07301002,14597.0,832.0,512.0,0.6153846153846154
Usurbil sección 01003,07301003,15790.0,1600.0,1115.0,0.696875
Usurbil sección 01004,07301004,16759.0,591.0,426.0,0.7208121827411168
Bergara sección 01001,07401001,16784.0,1274.0,920.0,0.7221350078492935
Bergara sección 01002,07401002,18634.0,1540.0,1173.0,0.7616883116883116
Bergara sección 01003,07401003,17493.0,630.0,484.0,0.7682539682539683
Bergara sección 01004,07401004,16375.0,871.0,623.0,0.7152698048220436
Bergara sección 01005,07401005,21639.0,1383.0,1088.0,0.7866955892986262
Bergara sección 02001,07402001,16836.0,704.0,546.0,0.7755681818181818
Bergara sección 02002,07402002,15847.0,593.0,416.0,0.7015177065767285
Bergara sección 02003,07402003,16468.0,1903.0,1340.0,0.7041513399894903
Bergara sección 03001,07403001,17064.0,1109.0,757.0,0.6825969341749324
Bergara sección 03002,07403002,13314.0,758.0,500.0,0.6596306068601583
Bergara sección 03003,07403003,19717.0,755.0,532.0,0.704635761589404
Villabona sección 01001,07501001,14592.0,1694.0,1137.0,0.6711924439197167
Villabona sección 01002,07501002,13624.0,1265.0,817.0,0.6458498023715415
Villabona sección 01003,07501003,15744.0,1353.0,894.0,0.6607538802660754
Ordizia sección 01001,07601001,14163.0,764.0,562.0,0.7356020942408377
Ordizia sección 01002,07601002,13445.0,692.0,468.0,0.6763005780346821
Ordizia sección 01003,07601003,15835.0,980.0,695.0,0.7091836734693877
Ordizia sección 01004,07601004,18603.0,857.0,638.0,0.7444574095682613
Ordizia sección 01005,07601005,15326.0,1195.0,846.0,0.7079497907949791
Ordizia sección 01006,07601006,13916.0,1211.0,782.0,0.6457473162675474
Ordizia sección 01008,07601008,18962.0,1314.0,1020.0,0.776255707762557
Urretxu sección 01001,07701001,16251.0,645.0,476.0,0.737984496124031
Urretxu sección 01002,07701002,14927.0,1190.0,861.0,0.7235294117647059
Urretxu sección 01003,07701003,17186.0,884.0,590.0,0.667420814479638
Urretxu sección 01004,07701004,16360.0,657.0,503.0,0.7656012176560122
Urretxu sección 01005,07701005,15572.0,724.0,536.0,0.7403314917127072
Urretxu sección 01006,07701006,16639.0,1169.0,879.0,0.7519247219846023
Zaldibia sección 01001,07801001,16245.0,1143.0,819.0,0.7165354330708661
Zarautz sección 01001,07901001,15899.0,1531.0,1163.0,0.759634225996081
Zarautz sección 01002,07901002,17918.0,1029.0,702.0,0.6822157434402333
Zarautz sección 01003,07901003,16204.0,1008.0,702.0,0.6964285714285714
Zarautz sección 02001,07902001,24599.0,1252.0,943.0,0.7531948881789138
Zarautz sección 02002,07902002,20096.0,1488.0,1152.0,0.7741935483870968
Zarautz sección 02003,07902003,15090.0,1548.0,1108.0,0.7157622739018088
Zarautz sección 02004,07902004,13962.0,1384.0,949.0,0.6856936416184971
Zarautz sección 02005,07902005,15120.0,1209.0,877.0,0.7253928866832092
Zarautz sección 02006,07902006,14393.0,1404.0,967.0,0.6887464387464387
Zarautz sección 02007,07902007,15778.0,1303.0,880.0,0.6753645433614736
Zarautz sección 02008,07902008,19602.0,1560.0,1115.0,0.7147435897435898
Zarautz sección 02009,07902009,16230.0,1446.0,998.0,0.690179806362379
Zarautz sección 02010,07902010,19515.0,1073.0,828.0,0.771668219944082
Zarautz sección 02011,07902011,17467.0,916.0,722.0,0.7882096069868996
Zumarraga sección 01001,08001001,16748.0,865.0,642.0,0.7421965317919075
Zumarraga sección 01002,08001002,16796.0,1252.0,876.0,0.6996805111821086
Zumarraga sección 01003,08001003,15353.0,659.0,483.0,0.7329286798179059
Zumarraga sección 01004,08001004,14752.0,573.0,365.0,0.6369982547993019
Zumarraga sección 01005,08001005,14176.0,1900.0,1231.0,0.6478947368421053
Zumarraga sección 01006,08001006,13609.0,1201.0,841.0,0.7002497918401333
Zumarraga sección 01007,08001007,16609.0,505.0,303.0,0.6
Zumarraga sección 01008,08001008,14981.0,750.0,535.0,0.7133333333333334
Zumaia sección 01001,08101001,19453.0,1628.0,1192.0,0.7321867321867321
Zumaia sección 01002,08101002,16242.0,1236.0,873.0,0.7063106796116505
Zumaia sección 01003,08101003,15676.0,1655.0,1158.0,0.6996978851963747
Zumaia sección 01004,08101004,14932.0,1341.0,929.0,0.6927665920954511
Zumaia sección 01005,08101005,17702.0,912.0,627.0,0.6875
Zumaia sección 01006,08101006,14534.0,918.0,603.0,0.6568627450980392
