Nombre Sección,Sección,Total,censo,votos_total,Participación,cuartil
Leaburu sección 01001,5001001,13343.0,266.0,170.0,0.6390977443609023,Q2
Legazpi sección 01001,5101001,16355.0,1166.0,807.0,0.6921097770154374,Q3
Legazpi sección 01002,5101002,16285.0,1815.0,1268.0,0.6986225895316804,Q3
Legazpi sección 01003,5101003,14399.0,810.0,546.0,0.674074074074074,Q2
Legazpi sección 01004,5101004,15238.0,842.0,574.0,0.6817102137767221,Q3
Legazpi sección 01005,5101005,14046.0,987.0,651.0,0.6595744680851063,Q2
Legazpi sección 01006,5101006,15669.0,658.0,446.0,0.6778115501519757,Q3
Legazpi sección 01007,5101007,14687.0,599.0,407.0,0.679465776293823,Q3
Legorreta sección 01001,5201001,13802.0,1090.0,779.0,0.7146788990825688,Q2
Lezo sección 01001,5301001,13432.0,1565.0,1003.0,0.6408945686900959,Q2
Lezo sección 01002,5301002,13198.0,842.0,558.0,0.66270783847981,Q2
Lezo sección 01003,5301003,11995.0,1099.0,611.0,0.5559599636032757,Q1
Lezo sección 01004,5301004,13568.0,1268.0,801.0,0.6317034700315457,Q2
Lizartza sección 01001,5401001,13415.0,447.0,286.0,0.639821029082774,Q2
Arrasate/Mondragón sección 01001,5501001,15879.0,982.0,663.0,0.675152749490835,Q3
Arrasate/Mondragón sección 01002,5501002,17226.0,994.0,693.0,0.6971830985915493,Q4
Arrasate/Mondragón sección 01003,5501003,17353.0,783.0,513.0,0.6551724137931034,Q4
Arrasate/Mondragón sección 01004,5501004,18556.0,860.0,552.0,0.641860465116279,Q4
Arrasate/Mondragón sección 01005,5501005,22289.0,1341.0,955.0,0.7121551081282624,Q4
Arrasate/Mondragón sección 01006,5501006,15910.0,1590.0,1039.0,0.6534591194968553,Q3
Arrasate/Mondragón sección 02001,5502001,16419.0,1006.0,684.0,0.679920477137177,Q4
Arrasate/Mondragón sección 02002,5502002,13286.0,976.0,573.0,0.5870901639344263,Q2
Arrasate/Mondragón sección 02003,5502003,12375.0,819.0,484.0,0.590964590964591,Q1
Arrasate/Mondragón sección 02004,5502004,14364.0,1025.0,624.0,0.608780487804878,Q2
Arrasate/Mondragón sección 03001,5503001,15214.0,721.0,470.0,0.651872399445215,Q3
Arrasate/Mondragón sección 03002,5503002,15349.0,746.0,493.0,0.660857908847185,Q3
Arrasate/Mondragón sección 03003,5503003,13321.0,778.0,423.0,0.5437017994858612,Q2
Arrasate/Mondragón sección 04001,5504001,16860.0,1029.0,643.0,0.6248785228377065,Q4
Arrasate/Mondragón sección 04002,5504002,16106.0,1108.0,700.0,0.631768953068592,Q3
Arrasate/Mondragón sección 04003,5504003,15178.0,1193.0,726.0,0.6085498742665549,Q3
Arrasate/Mondragón sección 04004,5504004,19993.0,912.0,617.0,0.6765350877192983,Q4
Arrasate/Mondragón sección 05001,5505001,18957.0,612.0,221.0,0.3611111111111111,Q4
Mutriku sección 01001,5601001,15000.0,1028.0,675.0,0.6566147859922179,Q3
Mutriku sección 01002,5601002,13562.0,1273.0,872.0,0.6849960722702279,Q2
Mutriku sección 01003,5601003,13200.0,1159.0,713.0,0.6151855047454702,Q2
Mutriku sección 02001,5602001,12263.0,622.0,329.0,0.5289389067524116,Q1
Mutiloa sección 01001,5701001,16823.0,196.0,122.0,0.6224489795918368,Q4
Olaberria sección 01001,5801001,15759.0,755.0,529.0,0.7006622516556291,Q3
Oñati sección 01001,5901001,19342.0,984.0,687.0,0.698170731707317,Q4
Oñati sección 01002,5901002,17648.0,786.0,549.0,0.6984732824427481,Q4
Oñati sección 01003,5901003,17262.0,927.0,620.0,0.668824163969795,Q4
Oñati sección 01004,5901004,16125.0,868.0,598.0,0.6889400921658986,Q3
Oñati sección 01005,5901005,17062.0,998.0,657.0,0.6583166332665331,Q4
Oñati sección 01006,5901006,18984.0,1661.0,1105.0,0.6652618904274533,Q4
Oñati sección 01007,5901007,16806.0,1190.0,780.0,0.6554621848739496,Q4
Oñati sección 02001,5902001,17706.0,1460.0,877.0,0.6006849315068493,Q4
Orexa sección 01001,6001001,13490.0,88.0,67.0,0.7613636363636364,Q2
Orio sección 01001,6101001,14660.0,1289.0,789.0,0.6121024049650892,Q3
Orio sección 01002,6101002,13652.0,1093.0,695.0,0.6358645928636779,Q2
Orio sección 01003,6101003,14729.0,1891.0,1117.0,0.5906927551560022,Q3
Ormaiztegi sección 01001,6201001,16989.0,973.0,653.0,0.671120246659815,Q4
Oiartzun sección 01001,6301001,16026.0,1447.0,1013.0,0.7000691085003455,Q3
Oiartzun sección 01002,6301002,13219.0,863.0,572.0,0.6628041714947857,Q2
Oiartzun sección 01003,6301003,14267.0,1117.0,726.0,0.6499552372426142,Q2
Oiartzun sección 01004,6301004,13064.0,1464.0,926.0,0.6325136612021858,Q2
Oiartzun sección 01005,6301005,12461.0,840.0,511.0,0.6083333333333333,Q1
Oiartzun sección 01006,6301006,15298.0,1004.0,653.0,0.650398406374502,Q3
Oiartzun sección 01007,6301007,15032.0,1282.0,862.0,0.672386895475819,Q3
Pasaia sección 01001,6401001,13672.0,680.0,432.0,0.6352941176470588,Q2
Pasaia sección 01002,6401002,12590.0,1089.0,648.0,0.5950413223140496,Q1
Pasaia sección 02001,6402001,15533.0,619.0,388.0,0.6268174474959612,Q3
Pasaia sección 02002,6402002,11918.0,532.0,342.0,0.6428571428571429,Q1
Pasaia sección 02003,6402003,10788.0,563.0,357.0,0.6341030195381883,Q1
Pasaia sección 02009,6402009,14146.0,599.0,374.0,0.6243739565943238,Q2
Pasaia sección 03001,6403001,11782.0,1319.0,853.0,0.6467020470053071,Q1
Pasaia sección 03002,6403002,13159.0,1404.0,913.0,0.6502849002849003,Q2
Pasaia sección 03003,6403003,12527.0,1168.0,764.0,0.6541095890410958,Q1
Pasaia sección 04001,6404001,11641.0,860.0,549.0,0.6383720930232558,Q1
Pasaia sección 04002,6404002,11563.0,955.0,588.0,0.6157068062827226,Q1
Pasaia sección 04003,6404003,11281.0,598.0,369.0,0.617056856187291,Q1
Pasaia sección 04004,6404004,11269.0,1220.0,735.0,0.6024590163934426,Q1
Pasaia sección 04005,6404005,10778.0,897.0,491.0,0.5473801560758083,Q1
Soraluze-Placencia de las Armas sección 01001,6501001,14580.0,1030.0,689.0,0.6689320388349514,Q3
Soraluze-Placencia de las Armas sección 01002,6501002,12783.0,831.0,570.0,0.6859205776173285,Q1
Soraluze-Placencia de las Armas sección 02001,6502001,13508.0,1151.0,726.0,0.630755864465682,Q2
Errezil sección 01001,6601001,12270.0,454.0,236.0,0.5198237885462555,Q1
Errenteria sección 01001,6701001,12978.0,508.0,328.0,0.6456692913385826,Q1
Errenteria sección 01002,6701002,13443.0,1209.0,859.0,0.7105045492142267,Q2
Errenteria sección 01003,6701003,12853.0,688.0,468.0,0.6802325581395349,Q1
Errenteria sección 01004,6701004,12838.0,1723.0,1098.0,0.6372605919907138,Q1
Errenteria sección 01005,6701005,13142.0,1144.0,742.0,0.6486013986013986,Q2
Errenteria sección 01006,6701006,14874.0,1625.0,1104.0,0.6793846153846154,Q3
Errenteria sección 01007,6701007,10848.0,757.0,482.0,0.6367239101717305,Q1
Errenteria sección 01008,6701008,10388.0,687.0,404.0,0.5880640465793304,Q1
Errenteria sección 01009,6701009,13678.0,1240.0,790.0,0.6370967741935484,Q2
Errenteria sección 01010,6701010,12598.0,545.0,379.0,0.6954128440366972,Q1
Errenteria sección 01013,6701013,11662.0,739.0,475.0,0.6427604871447903,Q1
Errenteria sección 01014,6701014,11641.0,946.0,572.0,0.6046511627906976,Q1
Errenteria sección 01015,6701015,10684.0,852.0,516.0,0.6056338028169014,Q1
Errenteria sección 01016,6701016,10848.0,557.0,348.0,0.6247755834829444,Q1
Errenteria sección 01017,6701017,12243.0,696.0,432.0,0.6206896551724138,Q1
Errenteria sección 01018,6701018,14537.0,623.0,331.0,0.5313001605136437,Q3
Errenteria sección 01019,6701019,12601.0,1620.0,1021.0,0.6302469135802469,Q1
Errenteria sección 01020,6701020,13505.0,945.0,637.0,0.674074074074074,Q2
Errenteria sección 01022,6701022,13156.0,1321.0,880.0,0.6661619984859954,Q2
Errenteria sección 01023,6701023,12196.0,1009.0,632.0,0.626362735381566,Q1
Errenteria sección 01024,6701024,11475.0,1000.0,648.0,0.648,Q1
Errenteria sección 01025,6701025,12115.0,1023.0,639.0,0.624633431085044,Q1
Errenteria sección 01026,6701026,11656.0,1260.0,773.0,0.6134920634920635,Q1
Errenteria sección 01027,6701027,11498.0,1361.0,908.0,0.6671565025716385,Q1
Errenteria sección 01028,6701028,11179.0,1462.0,888.0,0.6073871409028728,Q1
Errenteria sección 01029,6701029,11674.0,1393.0,911.0,0.6539842067480258,Q1
Errenteria sección 01030,6701030,14776.0,869.0,605.0,0.6962025316455697,Q3
Errenteria sección 01032,6701032,10929.0,578.0,398.0,0.6885813148788927,Q1
Errenteria sección 01034,6701034,11992.0,576.0,377.0,0.6545138888888888,Q1
Errenteria sección 01035,6701035,14475.0,633.0,436.0,0.688783570300158,Q3
Errenteria sección 01036,6701036,14308.0,1239.0,903.0,0.7288135593220338,Q2
Leintz-Gatzaga sección 01001,6801001,17297.0,190.0,135.0,0.7105263157894737,Q4
Donostia/San Sebastián sección 01001,6901001,15287.0,564.0,369.0,0.6542553191489362,Q3
Donostia/San Sebastián sección 01002,6901002,21944.0,665.0,440.0,0.6616541353383458,Q4
Donostia/San Sebastián sección 01003,6901003,14445.0,1073.0,693.0,0.6458527493010252,Q3
Donostia/San Sebastián sección 01005,6901005,20390.0,781.0,550.0,0.704225352112676,Q4
Donostia/San Sebastián sección 01006,6901006,22571.0,870.0,609.0,0.7,Q4
