Nombre Sección,Sección,Total,censo,votos_total,Participación,desviación renta 16,cambio renta 16-19,desviación participación 16,cambio voto 16-19
Irun sección 03007,4503007,10253.0,1027.0,667.0,0.6494644595910418,-4810.732110091743,129.3431192660537,-8.485294117647072,-79.10369670804096
Arrasate/Mondragón sección 02003,5502003,12375.0,819.0,484.0,0.590964590964591,-2688.7321100917434,53.34311926605369,-191.48529411764707,-79.10369670804096
Pasaia sección 04004,6404004,11269.0,1220.0,735.0,0.6024590163934426,-3794.7321100917434,-72.65688073394631,59.51470588235293,-79.10369670804096
Donostia/San Sebastián sección 03018,6903018,15459.0,1304.0,922.0,0.7070552147239264,395.2678899082566,-550.6568807339463,246.51470588235293,-77.10369670804096
Irun sección 03005,4503005,10447.0,1113.0,693.0,0.6226415094339622,-4616.732110091743,-606.6568807339463,17.514705882352928,-77.10369670804096
Donostia/San Sebastián sección 07008,6907008,12558.0,666.0,431.0,0.6471471471471472,-2505.7321100917434,459.3431192660537,-244.48529411764707,-77.10369670804096
Donostia/San Sebastián sección 07012,6907012,11592.0,716.0,426.0,0.5949720670391061,-3471.7321100917434,-608.6568807339463,-249.48529411764707,-77.10369670804096
Donostia/San Sebastián sección 07001,6907001,12142.0,1481.0,997.0,0.6731937879810939,-2921.7321100917434,-174.6568807339463,321.5147058823529,-77.10369670804096
Donostia/San Sebastián sección 03028,6903028,14270.0,759.0,519.0,0.6837944664031621,-793.7321100917434,-1294.6568807339463,-156.48529411764707,-76.10369670804096
Irun sección 03015,4503015,13608.0,1774.0,1208.0,0.6809470124013529,-1455.7321100917434,-381.6568807339463,532.5147058823529,-75.10369670804096
Urretxu sección 01003,7701003,16008.0,901.0,635.0,0.704772475027747,944.2678899082566,-164.6568807339463,-40.48529411764707,-75.10369670804096
Donostia/San Sebastián sección 06008,6906008,13417.0,1186.0,841.0,0.709106239460371,-1646.7321100917434,-382.6568807339463,165.51470588235293,-75.10369670804096
Irun sección 03013,4503013,11233.0,1381.0,893.0,0.6466328747284577,-3830.7321100917434,-40.65688073394631,217.51470588235293,-74.10369670804096
Errenteria sección 01015,6701015,10684.0,852.0,516.0,0.6056338028169014,-4379.732110091743,-208.6568807339463,-159.48529411764707,-73.10369670804096
Donostia/San Sebastián sección 03005,6903005,15525.0,934.0,621.0,0.6648822269807281,461.2678899082566,1395.3431192660537,-54.48529411764707,-72.10369670804096
Donostia/San Sebastián sección 03003,6903003,18722.0,767.0,572.0,0.7457627118644068,3658.2678899082566,-696.6568807339463,-103.48529411764707,-71.10369670804096
Zumarraga sección 01004,8001004,15285.0,604.0,406.0,0.6721854304635762,221.26788990825662,-1875.6568807339463,-269.4852941176471,-71.10369670804096
Lasarte-Oria sección 01013,90201013,14803.0,1105.0,792.0,0.7167420814479638,-260.7321100917434,445.3431192660537,116.51470588235293,-70.10369670804096
Donostia/San Sebastián sección 06002,6906002,23660.0,1066.0,764.0,0.7166979362101313,8596.267889908257,-2478.6568807339463,88.51470588235293,-70.10369670804096
Donostia/San Sebastián sección 04016,6904016,13262.0,650.0,432.0,0.6646153846153846,-1801.7321100917434,-1175.6568807339463,-243.48529411764707,-70.10369670804096
Errenteria sección 01032,6701032,10929.0,578.0,398.0,0.6885813148788927,-4134.732110091743,-790.6568807339463,-277.4852941176471,-69.10369670804096
Irun sección 02001,4502001,11440.0,1326.0,850.0,0.6410256410256411,-3623.7321100917434,36.34311926605369,174.51470588235293,-67.10369670804096
Irun sección 03018,4503018,11553.0,779.0,544.0,0.6983311938382541,-3510.7321100917434,-104.65688073394631,-131.48529411764707,-67.10369670804096
Donostia/San Sebastián sección 05009,6905009,19240.0,933.0,686.0,0.7352625937834941,4176.267889908257,109.34311926605369,10.514705882352928,-66.10369670804096
Donostia/San Sebastián sección 03013,6903013,14077.0,921.0,634.0,0.6883821932681867,-986.7321100917434,-398.6568807339463,-41.48529411764707,-66.10369670804096
Donostia/San Sebastián sección 06011,6906011,29364.0,974.0,743.0,0.7628336755646817,14300.267889908257,-5261.656880733946,67.51470588235293,-65.10369670804096
Zumaia sección 01001,8101001,17229.0,1793.0,1227.0,0.6843279419966537,2165.2678899082566,881.3431192660537,551.5147058823529,-65.10369670804096
